group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1714162786.0,ns,79
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1767601966.0,ns,80
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1872559005.0,ns,81
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1758026544.0,ns,82
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1723382243.0,ns,83
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1682584060.0,ns,84
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1646690369.0,ns,85
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1810877513.0,ns,86
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1891561106.0,ns,87
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1779694046.0,ns,88
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1958448754.0,ns,89
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1679646278.0,ns,90
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1621592399.0,ns,91
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1630812195.0,ns,92
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1535422025.0,ns,93
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1500628402.0,ns,94
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1523799182.0,ns,95
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1577874026.0,ns,96
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1512075368.0,ns,97
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1482246322.0,ns,98
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1494036004.0,ns,99
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,1509515016.0,ns,100
